aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
kunngeqalaartartoq	kunngi-QAR-LAAR=TAR<Participium<han
kunngeqarluartorpassuiuna	kunngi-QAR+LUAR+TUQ+PASSUAQ<flertal<hans<Absolut+UNA
kunngeqarnerullutik	kunngi-QAR+NIRU<Ledsagemåde<de_selv
kunngeqanngimmallu	kunngi-QAR-NNGIT<Causativ<han+LU
kunngeqaqqaartununa	kunngi-QAR-QQAAR<Participium<de+UNA
kunngeqaqqaartunngunngitsoq	kunngi-QAR-QQAAR+TUQ-NNGUR-NNGIT<Participium<han
kunngeqaqqullugillu	kunngi-QAR-QQU<Ledsagemåde<dem+LU
kunngeqareermatali	kunngi-QAR-RIIR<Causativ<de+LI
kunngeqareerpit	kunngi-QAR-RIIR<Interrogativ<du
kunngeqareernini	kunngi-QAR-RIIR+NIQ<ental<sin<Absolut
kunngeqarpallaanngilatit	kunngi-QAR+VALLAAR=NNGIT<Interrogativ<du
kunngeqavikkamali	kunngi-QAR-VIP<Causativ<jeg+LI
kunngissakkulli	kunngi-SSAQ<ental<Vialis+LI
kunngissaqalertunga	kunngi-SSAQ-QAR-LIR<Participium<jeg
kunngitaalaartungaana	kunngi+TAAR-LAAR<Participium<jeg+UNA
kunngitaareerpunga	kunngi+TAAR-RIIR<Indikativ<jeg
kunngiulaarmata	kunngi-U-LAAR<Causativ<de
kunngioqqutigilli	kunngi-U-QQU<Imperativ<ViDem+LI
maani	maani<Partikel
maanili	maani<Partikel+LI
maanilu	maani<Partikel+LU
makku	makku<Pronomen<flertal<Absolut
makkuli	makku<Pronomen<flertal<Absolut+LI
makkunani	makku<Pronomen<flertal<Lokalis
makkunaniiginnarpit	makku<Pronomen<flertal<Lokalis+IP-INNAR<Interrogativ<du
makkunaneeqqaartungalu	makku<Pronomen<flertal<Lokalis+IP-QQAAR<Participium<jeg+LU
makkunaneeqqutiginuna	makku<Pronomen<flertal<Lokalis+IP-QQU<Imperativ<ViDem+UNA
makkunaneeriarmata	makku<Pronomen<flertal<Lokalis+IP-RIAR<Causativ<de
makkunaniittartoqarporuna	makku<Pronomen<flertal<Lokalis+IP+TAR+TUQ-QAR<Indikativ<han+UNA
makkunaniuna	makku<Pronomen<flertal<Lokalis+UNA
Maniitsoq	Maniitsoq<Absolut
Maniitsorli	Maniitsoq<Absolut+LI
Maniitsorlu	Maniitsoq<Absolut+LU
Maniitsoruna	Maniitsoq<Absolut+UNA
Maniitsumik	Maniitsoq<Instrumentalis
Maniitsumilli	Maniitsoq<Instrumentalis+LI
Maniitsumillu	Maniitsoq<Instrumentalis+LU
Maniitsuminguna	Maniitsoq<Instrumentalis+UNA
Maniitsumi	Maniitsoq<Lokalis
Maniitsumiimmalli	Maniitsoq<Lokalis+IP<Causativ<han+LI
Maniitsumiiginnaratta	Maniitsoq<Lokalis+IP-INNAR<Causativ<vi
Maniitsumiilerlutik	Maniitsoq<Lokalis+IP-LIR<Ledsagemåde<de_selv
Maniitsumeeqqaarpoq	Maniitsoq<Lokalis+IP-QQAAR<Indikativ<han
Maniitsumeeqqaarlutinguna	Maniitsoq<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+UNA
Maniitsumeeqqaarnerlu	Maniitsoq<Lokalis+IP-QQAAR+NIQ+LU
Maniitsumeeqqummanga	Maniitsoq<Lokalis+IP-QQU<Causativ<HanMig
Maniitsumeeqquiuk	Maniitsoq<Lokalis+IP-QQU<Interrogativ<DuHam
Maniitsumeeqqullugit	Maniitsoq<Lokalis+IP-QQU<Ledsagemåde<dem
Maniitsumeeriarmatalu	Maniitsoq<Lokalis+IP-RIAR<Causativ<de+LU
Maniitsumeeriarpungali	Maniitsoq<Lokalis+IP-RIAR<Indikativ<jeg+LI
Maniitsumeeriarlutillu	Maniitsoq<Lokalis+IP-RIAR<Ledsagemåde<de_selv+LU
Maniitsumeeriarlutinguna	Maniitsoq<Lokalis+IP-RIAR<Ledsagemåde<de_selv+UNA
Maniitsumeeriarneq	Maniitsoq<Lokalis+IP-RIAR+NIQ
Maniitsumeeriartoq	Maniitsoq<Lokalis+IP-RIAR<Participium<han
Maniitsumeeriartorlu	Maniitsoq<Lokalis+IP-RIAR+TUQ+LU
Maniitsumeereerpununa	Maniitsoq<Lokalis+IP-RIIR<Indikativ<de+UNA
Maniitsumeereerpugut	Maniitsoq<Lokalis+IP-RIIR<Indikativ<vi
Maniitsumeereertunga	Maniitsoq<Lokalis+IP-RIIR<Participium<jeg
Maniitsumiippallaartunga	Maniitsoq<Lokalis+IP+VALLAAR<Participium<jeg
Maniitsumili	Maniitsoq<Lokalis+LI
Maniitsumilu	Maniitsoq<Lokalis+LU
Maniitsormiumilli	Maniitsoq+MIU<ental<Instrumentalis+LI
Maniitsormiumut	Maniitsoq+MIU<ental<Terminalis
Maniitsormiunilli	Maniitsoq+MIU<flertal<Instrumentalis+LI
Maniitsormiuninguna	Maniitsoq+MIU<flertal<Instrumentalis+UNA
Maniitsormiuni	Maniitsoq+MIU<flertal<Lokalis
Maniitsormiuniilerpit	Maniitsoq+MIU<flertal<Lokalis+IP-LIR<Interrogativ<du
Maniitsormiuneereertoq	Maniitsoq+MIU<flertal<Lokalis+IP-RIIR+TUQ
Maniitsormiulerinianngimmata	Maniitsoq+MIU-LIRI+NIAR=NNGIT<Causativ<de
Maniitsormiuleriniarnatik	Maniitsoq+MIU-LIRI+NIAR=NNGIT<Ledsagemåde<de_selv
Maniitsormiulerissappulli	Maniitsoq+MIU-LIRI-SSA<Indikativ<de+LI
Maniitsormiulerisaraluarpit	Maniitsoq+MIU-LIRI+TAR=GALUAR<Interrogativ<du
Maniitsormiunngoqqugakku	Maniitsoq+MIU-NNGUR-QQU<Causativ<JegHam
Maniitsormiunngoreerpungalu	Maniitsoq+MIU-NNGUR-RIIR<Indikativ<jeg+LU
Maniitsormiunngoreerpit	Maniitsoq+MIU-NNGUR-RIIR<Interrogativ<du
Maniitsormiunngussagaluaramali	Maniitsoq+MIU-NNGUR-SSA=GALUAR<Causativ<jeg+LI
Maniitsormioqarporuna	Maniitsoq+MIU-QAR<Indikativ<han+UNA
Maniitsormioqarneq	Maniitsoq+MIU-QAR+NIQ
Maniitsormioqarneruna	Maniitsoq+MIU-QAR+NIQ+UNA
Maniitsormioqartoq	Maniitsoq+MIU-QAR<Participium<han
Maniitsormioqartorli	Maniitsoq+MIU-QAR<Participium<han+LI
Maniitsormioqartoq	Maniitsoq+MIU-QAR+TUQ
Maniitsormioqartorli	Maniitsoq+MIU-QAR+TUQ+LI
Maniitsormioqartoruna	Maniitsoq+MIU-QAR+TUQ+UNA
Maniitsormiuummallu	Maniitsoq+MIU-U<Causativ<han+LU
Maniitsormiuujunnaartoqalaartunngoorusuttorlu	Maniitsoq+MIU-U+GUNNAAR+TUQ-QAR-LAAR+TUQ-NNGUAQ-U+GUSUP<Participium<han+LU
Maniitsormioorusummalli	Maniitsoq+MIU-U+GUSUP<Causativ<han+LI
Maniitsormioorusukkama	Maniitsoq+MIU-U+GUSUP<Causativ<jeg
Maniitsormiuuniartunga	Maniitsoq+MIU-U+NIAR<Participium<jeg
Maniitsormiuunikuunerit	Maniitsoq+MIU-U+NIKUU+NIQ<flertal<Relativ
Maniitsormiuusaraluarmata	Maniitsoq+MIU-U+TAR=GALUAR<Causativ<de
Maniitsormiuuimmat	Maniitsoq+MIU-U-VIP<Causativ<han
Maniitsumut	Maniitsoq<Terminalis
Maniitsumukaannarpit	Maniitsoq<Terminalis-KAR-INNAR<Interrogativ<du
Maniitsumukalaarneq	Maniitsoq<Terminalis-KAR-LAAR+NIQ
Maniitsumukalaartarama	Maniitsoq<Terminalis-KAR-LAAR=TAR<Causativ<jeg
Maniitsumukalaartarpunga	Maniitsoq<Terminalis-KAR-LAAR=TAR<Indikativ<jeg
Maniitsumukalaartarpit	Maniitsoq<Terminalis-KAR-LAAR=TAR<Interrogativ<du
Maniitsumukanngitsorlu	Maniitsoq<Terminalis-KAR-NNGIT+TUQ+LU
Maniitsumukaqqaartoq	Maniitsoq<Terminalis-KAR-QQAAR+TUQ
Maniitsumukareerpit	Maniitsoq<Terminalis-KAR-RIIR<Interrogativ<du
Maniitsumukassagaluarput	Maniitsoq<Terminalis-KAR-SSA=GALUAR<Indikativ<de
Maniitsumukassagaluartoq	Maniitsoq<Terminalis-KAR-SSA=GALUAR+TUQ
Maniitsumukassasunga	Maniitsoq<Terminalis-KAR-SSA<Participium<jeg
Maniitsumulli	Maniitsoq<Terminalis+LI
Maniitsumullu	Maniitsoq<Terminalis+LU
Maniitsumununa	Maniitsoq<Terminalis+UNA
Maniitsukkut	Maniitsoq<Vialis
Maniitsukkulli	Maniitsoq<Vialis+LI
Maniitsukkullu	Maniitsoq<Vialis+LU
Maniitsukkununa	Maniitsoq<Vialis+UNA
manna	manna<Pronomen<Absolut<ental
mannali	manna<Pronomen<Absolut<ental+LI
mannalu	manna<Pronomen<Absolut<ental+LU
marluinnaanuna	marluk-INNAQ<flertal<Absolut+UNA
marluinnalereriarattaana	marluk-INNAQ-LIRI-RIAR<Causativ<vi+UNA
marluinnanngortunngoreerpullu	marluk-INNAQ-NNGUR+TUQ-NNGUR-RIIR<Indikativ<de+LU
marluinnarsiuinnarnera	marluk-INNAQ+SIUR-INNAR+NIQ<ental<hans<Absolut
marlussaqaraluartunnguali	marluk-SSAQ-QAR+GALUAR+TUQ-NNGUAQ<ental<hans<Absolut+LI
marlutut	marluk<Talord<Aequalis
marluk	marluk<Talord<flertal<Absolut
marlunguna	marluk<Talord<flertal<Absolut+UNA
marlunukanngillalli	marluk<Talord<flertal<Terminalis-KAR-NNGIT<Indikativ<de+LI
marlunik	marluk<Talord<Instrumentalis
marluliarlu	marluliaq<ental<Absolut+LU
marlulissakka	marluliaq<flertal<min<Absolut
marlulianngooriartunik	marluliaq-NNGUAQ-U-RIAR+TUQ<flertal<Instrumentalis
massakkullu	massakkut<Partikel+LU
massakkununa	massakkut<Partikel+UNA
meeraq	meeraq<ental<Absolut
meeqqatut	meeraq<ental<Aequalis
meeqqatullu	meeraq<ental<Aequalis+LU
meeraalu	meeraq<ental<hans<Absolut+LU
meeqqama	meeraq<ental<min>Relativ
meeqqamali	meeraq<ental<min>Relativ+LI
meeqqamalu	meeraq<ental<min>Relativ+LU
meeqqanili	meeraq<ental<sin<Absolut+LI
meeqqamullu	meeraq<ental<Terminalis+LU
meeqqakkut	meeraq<ental<Vialis
meeqqakkulli	meeraq<ental<Vialis+LI
meeqqakkununa	meeraq<ental<Vialis+UNA
meeraa	meeraq<flertal<hans<Absolut
meeqqanilli	meeraq<flertal<Instrumentalis+LI
meeqqanillu	meeraq<flertal<Instrumentalis+LU
meeqqaninguna	meeraq<flertal<Instrumentalis+UNA
meeqqaneeqqaarpoq	meeraq<flertal<Lokalis+IP-QQAAR<Indikativ<han
meeqqaneereerpugununa	meeraq<flertal<Lokalis+IP-RIIR<Indikativ<vi+UNA
meeqqaneereerlutik	meeraq<flertal<Lokalis+IP-RIIR<Ledsagemåde<de_selv
meeqqanilu	meeraq<flertal<Lokalis+LU
meeqqakkali	meeraq<flertal<min<Absolut+LI
meeqqakkaana	meeraq<flertal<min<Absolut+UNA
meeqqanukaqqaarnerlu	meeraq<flertal<Terminalis-KAR-QQAAR+NIQ+LU
meeqqanulli	meeraq<flertal<Terminalis+LI
meerariittullu	meeraq+GIIT<flertal<Aequalis+LU
meerariikka	meeraq+GIIT<flertal<min<Absolut
meerarigaluarlaraana	meeraq+GӘ+GALUAR<Optativ<JegHam+UNA
meerarartorlugilli	meeraq+GӘ+GIARTUR<Ledsagemåde<dem+LI
meeraannaanuna	meeraq-INNAQ<flertal<Absolut+UNA
meeralii	meeraq-LIK<flertal<hans<Absolut
meeralileriunnaarlutillu	meeraq-LIK-LIRI+GUNNAAR<Ledsagemåde<de_selv+LU
meeralerillutik	meeraq-LIRI<Ledsagemåde<de_selv
meeralereqqaarama	meeraq-LIRI-QQAAR<Causativ<jeg
meerarmiunngoriarninili	meeraq+MIU-NNGUR-RIAR+NIQ<ental<sin<Absolut+LI
meerarmioqarneq	meeraq+MIU-QAR+NIQ
meerarmiuullutinguna	meeraq+MIU-U<Ledsagemåde<de_selv+UNA
meeranngulaartarpungaana	meeraq-NNGUR-LAAR=TAR<Indikativ<jeg+UNA
meeranngoriarpugullu	meeraq-NNGUR-RIAR<Indikativ<vi+LU
meeranngussagaluartoq	meeraq-NNGUR-SSA=GALUAR<Participium<han
meerarpassuiuna	meeraq+PASSUAQ<flertal<hans<Absolut+UNA
meerarpassuakka	meeraq+PASSUAQ<flertal<min<Absolut
meerarpassuarnukaqqullugillu	meeraq+PASSUAQ<flertal<Terminalis-KAR-QQU<Ledsagemåde<dem+LU
meerarsioreerlutinguna	meeraq+SIUR-RIIR<Ledsagemåde<de_selv+UNA
meerassakkalu	meeraq-SSAQ<flertal<min<Absolut+LU
meerassanngoqqaartullu	meeraq-SSAQ-NNGUR-QQAAR<Participium<de+LU
meerartaalertunga	meeraq+TAAR-LIR<Participium<jeg
meerartaavimmat	meeraq+TAAR-VIP<Causativ<han
mittarfilli	mittarfik<ental<Absolut+LI
mittarfillu	mittarfik<ental<Absolut+LU
mittarfimmilli	mittarfik<ental<Instrumentalis+LI
mittarfimmi	mittarfik<ental<Lokalis
mittarfinnili	mittarfik<ental<sin<Absolut+LI
mittarfimmununa	mittarfik<ental<Terminalis+UNA
mittarfinnillu	mittarfik<flertal<Instrumentalis+LU
mittarfigiinnilli	mittarfik+GIIT<flertal<Instrumentalis+LI
mittarfigivallaarpiuk	mittarfik+GӘ+VALLAAR<Interrogativ<DuHam
mittarfillilli	mittarfik-LIK<flertal<Relativ+LI
mittarfileriniarmata	mittarfik-LIRI+NIAR<Causativ<de
mittarfimmiuneeqqummanga	mittarfik+MIU<flertal<Lokalis+IP-QQU<Causativ<HanMig
mittarfinnguujartorninili	mittarfik-NNGUAQ-U+GIARTUR+NIQ<ental<sin<Absolut+LI
mittarfippassuillu	mittarfik+PASSUAQ<flertal<Absolut+LU
mittarfippassuinuna	mittarfik+PASSUAQ<flertal<Absolut+UNA
mittarfippassui	mittarfik+PASSUAQ<flertal<hans<Absolut
mittarfippassuakka	mittarfik+PASSUAQ<flertal<min<Absolut
mittarfippassuakkali	mittarfik+PASSUAQ<flertal<min<Absolut+LI
mittarfeqaannarnini	mittarfik-QAR-INNAR+NIQ<ental<sin<Absolut
mittarfeqaannartoq	mittarfik-QAR-INNAR<Participium<han
mittarfeqalaarpoq	mittarfik-QAR-LAAR<Indikativ<han
mittarfeqalaartarpungali	mittarfik-QAR-LAAR=TAR<Indikativ<jeg+LI
mittarfeqalaartarpugununa	mittarfik-QAR-LAAR=TAR<Indikativ<vi+UNA
mittarfeqalaartartungali	mittarfik-QAR-LAAR=TAR<Participium<jeg+LI
mittarfeqaleramali	mittarfik-QAR-LIR<Causativ<jeg+LI
mittarfeqalernerat	mittarfik-QAR-LIR+NIQ<ental<deres
mittarfeqalertoruna	mittarfik-QAR-LIR<Participium<han+UNA
mittarfeqalertuunianngimmatalu	mittarfik-QAR-LIR+TUQ-U+NIAR=NNGIT<Causativ<de+LU
mittarfeqarnianngillallu	mittarfik-QAR+NIAR=NNGIT<Indikativ<de+LU
mittarfeqaqqummanga	mittarfik-QAR-QQU<Causativ<HanMig
mittarfeqaqqugakku	mittarfik-QAR-QQU<Causativ<JegHam
mittarfeqaqqutigilli	mittarfik-QAR-QQU<Imperativ<ViDem+LI
mittarfeqariarmata	mittarfik-QAR-RIAR<Causativ<de
mittarfeqariartunga	mittarfik-QAR-RIAR<Participium<jeg
mittarfeqareertut	mittarfik-QAR-RIIR<Participium<de
mittarfeqareertullu	mittarfik-QAR-RIIR<Participium<de+LU
mittarfeqareertuujartornini	mittarfik-QAR-RIIR+TUQ-U+GIARTUR+NIQ<ental<sin<Absolut
mittarfeqarsimasoq	mittarfik-QAR+SIMA<Participium<han
mittarfeqassagaluarnini	mittarfik-QAR-SSA=GALUAR+NIQ<ental<sin<Absolut
mittarfeqassaangali	mittarfik-QAR-SSA<Indikativ<jeg+LI
mittarfeqavippit	mittarfik-QAR-VIP<Interrogativ<du
mittarfeqavinneralu	mittarfik-QAR-VIP+NIQ<ental<hans<Absolut+LU
mittarfissiunnginnama	mittarfik+SIUR-NNGIT<Causativ<jeg
mittarfissiunngitsunngulerama	mittarfik+SIUR-NNGIT+TUQ-NNGUR-LIR<Causativ<jeg
mittarfissioqquaanga	mittarfik+SIUR-QQU<Indikativ<HanMig
mittarfissioreernini	mittarfik+SIUR-RIIR+NIQ<ental<sin<Absolut
mittarfissiussagaluarpit	mittarfik+SIUR-SSA=GALUAR<Interrogativ<du
mittarfissiussagaluarnini	mittarfik+SIUR-SSA=GALUAR+NIQ<ental<sin<Absolut
mittarfissiussagaluartunnguaq	mittarfik+SIUR-SSA=GALUAR+TUQ-NNGUAQ<ental<Absolut
mittarfissiussallutik	mittarfik+SIUR-SSA<Ledsagemåde<de_selv
mittarfittaannarnermununa	mittarfik+TAAR-INNAR+NIQ<ental<Terminalis+UNA
naammassitigilli	naammassi<Imperativ<ViDem+LI
naammassinerugakkuli	naammassi+NIRU<Causativ<JegHam+LI
naammassilara	naammassi<Optativ<JegHam
naammassilarali	naammassi<Optativ<JegHam+LI
naammasseqquassiuna	naammassi-QQU<Indikativ<JegJer+UNA
najali	naja<ental<Absolut+LI
najakkullu	naja<ental<Vialis+LU
najallit	naja-LIK<flertal<Relativ
najalerisaraluarlutik	naja-LIRI+TAR=GALUAR<Ledsagemåde<de_selv
najaasunngooreernerninguna	naja-U+TUQ-NNGUAQ-U-RIIR+NIQ<flertal<Instrumentalis+UNA
najugaqalaarninilu	najugaqar-LAAR+NIQ<ental<sin<Absolut+LU
najukkamik	najugaq<ental<Instrumentalis
najukkamulli	najugaq<ental<Terminalis+LI
najugaannalereriartunga	najugaq-INNAQ-LIRI-RIAR<Participium<jeg
nalorusuppiuk	nalu+GUSUP<Interrogativ<DuHam
nalorusullugit	nalu+GUSUP<Ledsagemåde<dem
naloqqaarpara	nalu-QQAAR<Indikativ<JegHam
naloqqaarlara	nalu-QQAAR<Optativ<JegHam
naloqqummanga	nalu-QQU<Causativ<HanMig
naloriarpakka	nalu-RIAR<Indikativ<JegDem
naloriarpiuk	nalu-RIAR<Interrogativ<DuHam
naloriarlara	nalu-RIAR<Optativ<JegHam
naloreerlara	nalu-RIIR<Optativ<JegHam
naligali	nalә<ental<min<Absolut+LI
nalinngui	nalә-NNGUAQ<flertal<hans<Absolut
nalinngoorusuppungalu	nalә-NNGUAQ-U+GUSUP<Indikativ<jeg+LU
nalinnguuniarpit	nalә-NNGUAQ-U+NIAR<Interrogativ<du
nalissanngoqqutigilli	nalә-SSAQ-NNGUR-QQU<Imperativ<ViDem+LI
nammineq	nammineq<Adjektiv
namminerli	nammineq<Adjektiv+LI
namminerlu	nammineq<Adjektiv+LU
nammineruna	nammineq<Adjektiv+UNA
nangippaanuna	nangip<Indikativ<DeHam+UNA
nangiinnarlara	nangip-INNAR<Optativ<JegHam
nangilluarpiuk	nangip+LUAR<Interrogativ<DuHam
nangillaralu	nangip<Optativ<JegHam+LU
nangeqquarali	nangip-QQU<Indikativ<JegHam+LI
nangereerakku	nangip-RIIR<Causativ<JegHam
nangittarmanga	nangip+TAR<Causativ<HanMig
Nanortalik	Nanortalik<Absolut
Nanortalilli	Nanortalik<Absolut+LI
Nanortalillu	Nanortalik<Absolut+LU
Nanortalinguna	Nanortalik<Absolut+UNA
Nanortalimmik	Nanortalik<Instrumentalis
Nanortalimmilli	Nanortalik<Instrumentalis+LI
Nanortalimmi	Nanortalik<Lokalis
Nanortalimmiinngimmatalu	Nanortalik<Lokalis+IP-NNGIT<Causativ<de+LU
Nanortalimmiuna	Nanortalik<Lokalis+UNA
Nanortalimmiuli	Nanortalik+MIU<ental<Absolut+LI
Nanortalimmiulereqqaarnini	Nanortalik+MIU-LIRI-QQAAR+NIQ<ental<sin<Absolut
Nanortalimmiunngulaarnini	Nanortalik+MIU-NNGUR-LAAR+NIQ<ental<sin<Absolut
Nanortalimmioqarpoq	Nanortalik+MIU-QAR<Indikativ<han
Nanortalimmioqartoq	Nanortalik+MIU-QAR<Participium<han
Nanortalimmiuujunnaarpunga	Nanortalik+MIU-U+GUNNAAR<Indikativ<jeg
Nanortalimmut	Nanortalik<Terminalis
Nanortalimmukassagaluartoq	Nanortalik<Terminalis-KAR-SSA=GALUAR<Participium<han
Nanortalimmulli	Nanortalik<Terminalis+LI
Nanortalikkut	Nanortalik<Vialis
Nanortalikkulli	Nanortalik<Vialis+LI
Nanortalikkullu	Nanortalik<Vialis+LU
Nanortalikkununa	Nanortalik<Vialis+UNA
Narsaq	Narsaq<Absolut
Narsarli	Narsaq<Absolut+LI
Narsarlu	Narsaq<Absolut+LU
Narsaruna	Narsaq<Absolut+UNA
Narsamik	Narsaq<Instrumentalis
Narsami	Narsaq<Lokalis
Narsameeqqaarlutinguna	Narsaq<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+UNA
Narsameeqqullugulu	Narsaq<Lokalis+IP-QQU<Ledsagemåde<ham+LU
Narsameereertoq	Narsaq<Lokalis+IP-RIIR+TUQ
Narsarmiumukanngilatit	Narsaq+MIU<ental<Terminalis-KAR-NNGIT<Interrogativ<du
Narsarmiunilli	Narsaq+MIU<flertal<Instrumentalis+LI
Narsarmiuniuna	Narsaq+MIU<flertal<Lokalis+UNA
Narsarmiunngussagaluarput	Narsaq+MIU-NNGUR-SSA=GALUAR<Indikativ<de
Narsarmioqarporli	Narsaq+MIU-QAR<Indikativ<han+LI
Narsarmioqarporuna	Narsaq+MIU-QAR<Indikativ<han+UNA
Narsarmioqarneq	Narsaq+MIU-QAR+NIQ
Narsarmioqarneruna	Narsaq+MIU-QAR+NIQ+UNA
Narsarmioqartoq	Narsaq+MIU-QAR<Participium<han
Narsarmioqartoq	Narsaq+MIU-QAR+TUQ
Narsarmiuujartorpungaana	Narsaq+MIU-U+GIARTUR<Indikativ<jeg+UNA
Narsarmiuuinnarpugununa	Narsaq+MIU-U-INNAR<Indikativ<vi+UNA
Narsarmiuuniartuuinnarpugut	Narsaq+MIU-U+NIAR+TUQ-U-INNAR<Indikativ<vi
Narsarmiooqqularaana	Narsaq+MIU-U-QQU<Optativ<JegHam+UNA
Narsamukaannarlutilli	Narsaq<Terminalis-KAR-INNAR<Ledsagemåde<de_selv+LI
Narsamukaannartoqarpoq	Narsaq<Terminalis-KAR-INNAR+TUQ-QAR<Indikativ<han
Narsamukalaarpugununa	Narsaq<Terminalis-KAR-LAAR<Indikativ<vi+UNA
Narsakkut	Narsaq<Vialis
Narsakkulli	Narsaq<Vialis+LI
Narsakkullu	Narsaq<Vialis+LU
Narsakkununa	Narsaq<Vialis+UNA
Narsarsuarmik	Narsarsuaq<Instrumentalis
Narsarsuarmiilaarlutilli	Narsarsuaq<Lokalis+IP-LAAR<Ledsagemåde<de_selv+LI
Narsarsuarmiulereqqaarpulli	Narsarsuaq+MIU-LIRI-QQAAR<Indikativ<de+LI
Narsarsuarmioqartoq	Narsarsuaq+MIU-QAR+TUQ
Narsarsuarmukalaarpit	Narsarsuaq<Terminalis-KAR-LAAR<Interrogativ<du
Narsarsuarmukalaartarpit	Narsarsuaq<Terminalis-KAR-LAAR=TAR<Interrogativ<du
Narsarsuakkut	Narsarsuaq<Vialis
nassiussaq	nassiussaq<ental<Absolut
nassiussaniissimasaramaana	nassiussaq<flertal<Lokalis+IP+SIMA=TAR<Causativ<jeg+UNA
nassiussareqqaarlugilli	nassiussaq+GӘ-QQAAR<Ledsagemåde<dem+LI
nassiussarmiuneeriarnerli	nassiussaq+MIU<flertal<Lokalis+IP-RIAR+NIQ+LI
nassiussarpassuinuna	nassiussaq+PASSUAQ<flertal<Absolut+UNA
nassiussarpassuakka	nassiussaq+PASSUAQ<flertal<min<Absolut
nassiussarsiuinnarattali	nassiussaq+SIUR-INNAR<Causativ<vi+LI
nassiussarsioqqullugu	nassiussaq+SIUR-QQU<Ledsagemåde<ham
nassiussassaraana	nassiussaq-SSAQ<ental<min<Absolut+UNA
nassiussartaalerniniuna	nassiussaq+TAAR-LIR+NIQ<ental<sin<Absolut+UNA
nassiussartaaqqaartulik	nassiussaq+TAAR-QQAAR+TUQ-LIK<ental<Absolut
nassiussartaassagaluarpullu	nassiussaq+TAAR-SSA=GALUAR<Indikativ<de+LU
nipilersoriartornerinuna	nipilersor+GIARTUR+NIQ<flertal<Relativ+UNA
nipilersorunnaarput	nipilersor+GUNNAAR<Indikativ<de
nipilersuinnarattaana	nipilersor-INNAR<Causativ<vi+UNA
nipilersuinnarpit	nipilersor-INNAR<Interrogativ<du
nipilersuinnarlutik	nipilersor-INNAR<Ledsagemåde<de_selv
nipilersuinnarnini	nipilersor-INNAR+NIQ<ental<sin<Absolut
nipilersuinnartungali	nipilersor-INNAR<Participium<jeg+LI
nipilersuinnartortaassasunga	nipilersor-INNAR+TUQ+TAAR-SSA<Participium<jeg
nipilersulaarnini	nipilersor-LAAR+NIQ<ental<sin<Absolut
nipilersulaartuinnannguinnarporuna	nipilersor-LAAR+TUQ-INNAQ-NNGUR-INNAR<Indikativ<han+UNA
nipilersorlutilli	nipilersor<Ledsagemåde<de_selv+LI
nipilersulerlutik	nipilersor-LIR<Ledsagemåde<de_selv
nipilersulernini	nipilersor-LIR+NIQ<ental<sin<Absolut
nipilersorniartullu	nipilersor+NIAR<Participium<de+LU
nipilersornikuusunga	nipilersor+NIKUU<Participium<jeg
nipilersornerusoq	nipilersor+NIRU+TUQ<ental<Absolut
nipilersunngilatit	nipilersor-NNGIT<Interrogativ<du
nipilersornatik	nipilersor-NNGIT<Ledsagemåde<de_selv
nipilersunnginnerali	nipilersor-NNGIT+NIQ<ental<min<Absolut+LI
nipilersunngitsut	nipilersor-NNGIT<Participium<de
nipilersunngitsorpassuilli	nipilersor-NNGIT+TUQ+PASSUAQ<flertal<Absolut+LI
nipilersoqqaarmallu	nipilersor-QQAAR<Causativ<han+LU
nipilersoqqaarpit	nipilersor-QQAAR<Interrogativ<du
nipilersoqqaarnerallu	nipilersor-QQAAR+NIQ<ental<deres+LU
nipilersoqqaarniniuna	nipilersor-QQAAR+NIQ<ental<sin<Absolut+UNA
nipilersoqqaarnerit	nipilersor-QQAAR+NIQ<flertal<Absolut
nipilersoqqaartulli	nipilersor-QQAAR<Participium<de+LI
nipilersoqqaartunga	nipilersor-QQAAR<Participium<jeg
nipilersoqqugakkuli	nipilersor-QQU<Causativ<JegHam+LI
nipilersoqquiuk	nipilersor-QQU<Interrogativ<DuHam
nipilersoriarpunga	nipilersor-RIAR<Indikativ<jeg
nipilersoriarpugununa	nipilersor-RIAR<Indikativ<vi+UNA
nipilersoriartooqqaarnerillu	nipilersor-RIAR+TUQ-U-QQAAR+NIQ<flertal<Absolut+LU
nipilersoreerama	nipilersor-RIIR<Causativ<jeg
nipilersoreerpit	nipilersor-RIIR<Interrogativ<du
nipilersoreerlutik	nipilersor-RIIR<Ledsagemåde<de_selv
nipilersorsimasunga	nipilersor+SIMA<Participium<jeg
nipilersussammanuna	nipilersor-SSA<Causativ<han+UNA
nipilersussallutik	nipilersor-SSA<Ledsagemåde<de_selv
nipilersortaraluarpungali	nipilersor+TAR=GALUAR<Indikativ<jeg+LI
nipilersortaraluarnerat	nipilersor+TAR=GALUAR+NIQ<ental<deres
nipilersortaraluartoq	nipilersor+TAR=GALUAR+TUQ<ental<Absolut
nipilersortoqassavit	nipilersor+TUQ-QAR-SSA<Interrogativ<du
nipilersorpallaartoqaqqugakku	nipilersor+VALLAAR+TUQ-QAR-QQU<Causativ<JegHam
nipilersuikkattali	nipilersor-VIP<Causativ<vi+LI
