aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
eqqaamasimasarpiuk	eqqaama+SIMA=TAR<Interrogativ<DuHam
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqaa	eqqaq<ental<hans<Absolut
eqqaaneereertut	eqqaq<ental<Lokalis<hans+IP-RIIR<Participium<de
eqqara	eqqaq<ental<min<Absolut
eqqarali	eqqaq<ental<min<Absolut+LI
eqqaralu	eqqaq<ental<min<Absolut+LU
eqqaraana	eqqaq<ental<min<Absolut+UNA
eqqama	eqqaq<ental<min>Relativ
eqqamaana	eqqaq<ental<min>Relativ+UNA
eqqaanukalaartaratta	eqqaq<ental<Terminalis<hans-KAR-LAAR=TAR<Causativ<vi
eqqaanununa	eqqaq<ental<Terminalis<hans+UNA
eqqannguaq	eqqaq-NNGUAQ<ental<Absolut
eqqanngui	eqqaq-NNGUAQ<flertal<hans<Absolut
eqqannguanik	eqqaq-NNGUAQ<flertal<Instrumentalis
eqqannguani	eqqaq-NNGUAQ<flertal<Lokalis
eqqanngualeriartorniniuna	eqqaq-NNGUAQ-LIRI+GIARTUR+NIQ<ental<sin<Absolut+UNA
eqqannguunatilli	eqqaq-NNGUAQ-U-NNGIT<Ledsagemåde<de_selv+LI
eqqanngooqqaarnerilli	eqqaq-NNGUAQ-U-QQAAR+NIQ<flertal<Relativ+LI
eqqanngooqqaartunga	eqqaq-NNGUAQ-U-QQAAR<Participium<jeg
eqqanngooqquakkalu	eqqaq-NNGUAQ-U-QQU<Indikativ<JegDem+LU
eqqanngooreermat	eqqaq-NNGUAQ-U-RIIR<Causativ<han
eqqannguusimavit	eqqaq-NNGUAQ-U+SIMA<Interrogativ<du
eqqannguuallaaratta	eqqaq-NNGUAQ-U+VALLAAR<Causativ<vi
eqqumiitsuliortoq	eqqumiitsuliortoq<ental<Absolut
eqqumiitsuliortutununa	eqqumiitsuliortoq<ental<Aequalis+UNA
eqqumiitsuliortuaana	eqqumiitsuliortoq<ental<hans<Absolut+UNA
eqqumiitsuliortumiilaartarnerli	eqqumiitsuliortoq<ental<Lokalis+IP-LAAR=TAR+NIQ+LI
eqqumiitsuliortumeeriartunga	eqqumiitsuliortoq<ental<Lokalis+IP-RIAR<Participium<jeg
eqqumiitsuliortora	eqqumiitsuliortoq<ental<min<Absolut
eqqumiitsuliortuni	eqqumiitsuliortoq<ental<sin<Absolut
eqqumiitsuliortukkullu	eqqumiitsuliortoq<ental<Vialis+LU
eqqumiitsuliortoriittut	eqqumiitsuliortoq+GIIT<flertal<Aequalis
eqqumiitsuliortorigaluartigilli	eqqumiitsuliortoq+GӘ+GALUAR<Imperativ<ViDem+LI
eqqumiitsuliortorisinnaatigit	eqqumiitsuliortoq+GӘ+SINNAA<Imperativ<ViDem
eqqumiitsuliortorivallaarakku	eqqumiitsuliortoq+GӘ+VALLAAR<Causativ<JegHam
eqqumiitsuliortuinnaa	eqqumiitsuliortoq-INNAQ<ental<hans<Absolut
eqqumiitsuliortuinnanngorlutik	eqqumiitsuliortoq-INNAQ-NNGUR<Ledsagemåde<de_selv
eqqumiitsuliortuinnaqassagaluarnerali	eqqumiitsuliortoq-INNAQ-QAR-SSA=GALUAR+NIQ<ental<hans<Absolut+LI
eqqumiitsuliortuinnaalertooriarnini	eqqumiitsuliortoq-INNAQ-U-LIR+TUQ-U-RIAR+NIQ<ental<sin<Absolut
eqqumiitsuliortukkulli	eqqumiitsuliortoq-KKUT<flertal<Absolut+LI
eqqumiitsuliortukkunneereerpit	eqqumiitsuliortoq-KKUT<flertal<Lokalis+IP-RIIR<Interrogativ<du
eqqumiitsuliortulik	eqqumiitsuliortoq-LIK<ental<Absolut
eqqumiitsuliortullinuna	eqqumiitsuliortoq-LIK<flertal<Absolut+UNA
eqqumiitsuliortulikka	eqqumiitsuliortoq-LIK<flertal<min<Absolut
eqqumiitsuliortullilli	eqqumiitsuliortoq-LIK<flertal<Relativ+LI
eqqumiitsuliortullinuna	eqqumiitsuliortoq-LIK<flertal<Relativ+UNA
eqqumiitsuliortulinngussagaluarnera	eqqumiitsuliortoq-LIK-NNGUR-SSA=GALUAR+NIQ<ental<hans<Absolut
eqqumiitsuliortormiunngulaartunga	eqqumiitsuliortoq+MIU-NNGUR-LAAR<Participium<jeg
eqqumiitsuliortormiunngortoq	eqqumiitsuliortoq+MIU-NNGUR+TUQ<ental<Absolut
eqqumiitsuliortunnguilu	eqqumiitsuliortoq-NNGUAQ<flertal<hans<Absolut+LU
eqqumiitsuliortunngooreertoq	eqqumiitsuliortoq-NNGUAQ-U-RIIR+TUQ<ental<Absolut
eqqumiitsuliortunngoqqaartuinnaqalerlutinguna	eqqumiitsuliortoq-NNGUR-QQAAR+TUQ-INNAQ-QAR-LIR<Ledsagemåde<de_selv+UNA
eqqumiitsuliortorpassuit	eqqumiitsuliortoq+PASSUAQ<flertal<Absolut
eqqumiitsuliortorpassuakka	eqqumiitsuliortoq+PASSUAQ<flertal<min<Absolut
eqqumiitsuliortorpassuakkali	eqqumiitsuliortoq+PASSUAQ<flertal<min<Absolut+LI
eqqumiitsuliortoqannginnama	eqqumiitsuliortoq-QAR-NNGIT<Causativ<jeg
eqqumiitsuliortoqaqqugakku	eqqumiitsuliortoq-QAR-QQU<Causativ<JegHam
eqqumiitsuliortoqaqqugakkuuna	eqqumiitsuliortoq-QAR-QQU<Causativ<JegHam+UNA
eqqumiitsuliortoqariarpit	eqqumiitsuliortoq-QAR-RIAR<Interrogativ<du
eqqumiitsuliortoqassagaluarlutillu	eqqumiitsuliortoq-QAR-SSA=GALUAR<Ledsagemåde<de_selv+LU
eqqumiitsuliortorsioqqaarpugulli	eqqumiitsuliortoq+SIUR-QQAAR<Indikativ<vi+LI
eqqumiitsuliortussatununa	eqqumiitsuliortoq-SSAQ<ental<Aequalis+UNA
eqqumiitsuliortussamilli	eqqumiitsuliortoq-SSAQ<ental<Instrumentalis+LI
eqqumiitsuliortussalerilaarpunga	eqqumiitsuliortoq-SSAQ-LIRI-LAAR<Indikativ<jeg
eqqumiitsuliortussaainnarpungaana	eqqumiitsuliortoq-SSAQ-U-INNAR<Indikativ<jeg+UNA
eqqumiitsuliortoorusukkatta	eqqumiitsuliortoq-U+GUSUP<Causativ<vi
eqqumiitsuliortuuvugullu	eqqumiitsuliortoq-U<Indikativ<vi+LU
eqqumiitsuliortuullutik	eqqumiitsuliortoq-U<Ledsagemåde<de_selv
eqqumiitsuliortooqqaarpoq	eqqumiitsuliortoq-U-QQAAR<Indikativ<han
eqqumiitsuliortooqqaarpunga	eqqumiitsuliortoq-U-QQAAR<Indikativ<jeg
eqqumiitsuliortooqqaarpit	eqqumiitsuliortoq-U-QQAAR<Interrogativ<du
eqqumiitsuliortooqqaartua	eqqumiitsuliortoq-U-QQAAR+TUQ<ental<hans<Absolut
eqqumiitsuliortooqqullugu	eqqumiitsuliortoq-U-QQU<Ledsagemåde<ham
eqqumiitsuliortooriartortaalaartarlutilli	eqqumiitsuliortoq-U-RIAR+TUQ+TAAR-LAAR=TAR<Ledsagemåde<de_selv+LI
eqqumiitsuliortooreerporuna	eqqumiitsuliortoq-U-RIIR<Indikativ<han+UNA
erniinnaq	erniinnaq<Partikel
erniinnarli	erniinnaq<Partikel+LI
erniinnarlu	erniinnaq<Partikel+LU
erniinnaruna	erniinnaq<Partikel+UNA
