aasaq	aasaq<ental<Absolut
inersimasukkulluunniit	inersimasoq<ental<Vialis+LUUNNIIT
inersimasukkut	inersimasoq-KKUT<flertal<Absolut
inersimasukkulluunniit	inersimasoq-KKUT<flertal<Absolut+LUUNNIIT
ingerlammat	ingerla<Causativ<han
ingerlammalluunniit	ingerla<Causativ<han+LUUNNIIT
ingerlagatta	ingerla<Causativ<vi
ingerlagattaluunniit	ingerla<Causativ<vi+LUUNNIIT
ingerlajunnaarmata	ingerla+GUNNAAR<Causativ<de
ingerlajunnaarmat	ingerla+GUNNAAR<Causativ<han
ingerlajunnaaratta	ingerla+GUNNAAR<Causativ<vi
ingerlajunnaarpoq	ingerla+GUNNAAR<Indikativ<han
ingerlajunnaarporluunniit	ingerla+GUNNAAR<Indikativ<han+LUUNNIIT
ingerlarusukkattaluunniit	ingerla+GUSUP<Causativ<vi+LUUNNIIT
ingerlarusupporluunniit	ingerla+GUSUP<Indikativ<han+LUUNNIIT
ingerlavoq	ingerla<Indikativ<han
ingerlalluaratta	ingerla+LUAR<Causativ<vi
ingerlalluarattaluunniit	ingerla+LUAR<Causativ<vi+LUUNNIIT
ingerlalluarpoq	ingerla+LUAR<Indikativ<han
ingerlavimmat	ingerla-VIP<Causativ<han
ingerlavimmalluunniit	ingerla-VIP<Causativ<han+LUUNNIIT
ingerlavikkatta	ingerla-VIP<Causativ<vi
ingerlavippoq	ingerla-VIP<Indikativ<han
inuttassarsiuussineq	inuttassarsiuussineq<ental<Absolut
inuttassarsiuussinerluunniit	inuttassarsiuussineq<ental<Absolut+LUUNNIIT
inuttassarsiuussinikkulluunniit	inuttassarsiuussineq<ental<Vialis+LUUNNIIT
inuttassarsiuussinima	inuttassarsiuussineq<flertal<min>Relativ
inuttassarsiuussinimaluunniit	inuttassarsiuussineq<flertal<min>Relativ+LUUNNIIT
inuttassarsiuussinikkulluunniit	inuttassarsiuussineq-KKUT<flertal<Absolut+LUUNNIIT
