aallaratta	aallar<Causativ<vi
eqqumeeqqaarnerpaannguinnarlutinguna	eqqumiip-QQAAR+NIRPAAQ-NNGUR-INNAR<Ledsagemåde<de_selv+UNA
eqqumeeqqaartukkunniluunniit	eqqumiip-QQAAR+TUQ-KKUT<flertal<Lokalis+LUUNNIIT
eqqumeeqqaartoqavikkama	eqqumiip-QQAAR+TUQ-QAR-VIP<Causativ<jeg
eqqumeeqqaartorujuunatilli	eqqumiip-QQAAR+TUQ-RUJUK-U-NNGIT<Ledsagemåde<de_selv+LI
eqqumeeqqutigilli	eqqumiip-QQU<Imperativ<ViDem+LI
eqqumeeqquatit	eqqumiip-QQU<Indikativ<DuDem
eqqumeeqqulara	eqqumiip-QQU<Optativ<JegHam
eqqumeeqimmalli	eqqumiip-QӘ<Causativ<han+LI
eqqumeeqaat	eqqumiip-QӘ<Interrogativ<du
eqqumeeqalutinguna	eqqumiip-QӘ<Ledsagemåde<de_selv+UNA
eqqumeeqisoqalaartartuni	eqqumiip-QӘ+TUQ-QAR-LAAR=TAR+TUQ<ental<sin<Absolut
eqqumeeqisooqqugakku	eqqumiip-QӘ+TUQ-U-QQU<Causativ<JegHam
eqqumeeriarattaana	eqqumiip-RIAR<Causativ<vi+UNA
eqqumeeriarfinngooqqaarlutik	eqqumiip-RIAR+FIK-NNGUAQ-U-QQAAR<Ledsagemåde<de_selv
eqqumeeriarlutik	eqqumiip-RIAR<Ledsagemåde<de_selv
eqqumeeriarlutillu	eqqumiip-RIAR<Ledsagemåde<de_selv+LU
eqqumeeriarnermalu	eqqumiip-RIAR+NIQ<ental<min<Relativ+LU
eqqumeeriarnerneeqqaartungalu	eqqumiip-RIAR+NIQ<flertal<Instrumentalis-IR-QQAAR<Participium<jeg+LU
eqqumeeriartooqqaarnerpaanili	eqqumiip-RIAR+TUQ-U-QQAAR+NIRPAAQ<flertal<Lokalis+LI
eqqumeereermat	eqqumiip-RIIR<Causativ<han
eqqumeereernerpaatullu	eqqumiip-RIIR+NIRPAAQv<ental<Aequalis+LU
eqqumiissimavugullu	eqqumiip+SIMA<Indikativ<vi+LU
eqqumiissinnaappulli	eqqumiip+SINNAA<Indikativ<de+LI
eqqumiitsippiuk	eqqumiip+TIP<Interrogativ<DuHam
eqqumiittoqalaarnerpaannguimmata	eqqumiip+TUQ-QAR-LAAR+NIRPAAQ-NNGUR-VIP<Causativ<de
eqqumiittussaasooriarneq	eqqumiip+TUQ=SSAQ=U+TUQ-U-RIAR+NIQ<ental<Absolut
eqqumiitsuliortora	eqqumiitsuliortoq<ental<min<Absolut
erneq	erneq<ental<Absolut
ernerattullu	erneq<ental<deres<Aequalis+LU
ernerataluunniit	erneq<ental<deres<Relativ+LUUNNIIT
ernerata	erneq<ental<hans<Relativ
ernerissagaluarlungaluunniit	erneq+GӘ-SSA=GALUAR<Ledsagemåde<mig+LUUNNIIT
ernerivallaarlaraana	erneq+GӘ+VALLAAR<Optativ<JegHam+UNA
ernerinnanngoriarnerilli	erneq-INNAQ-NNGUR-RIAR+NIQ<flertal<Relativ+LI
ernikkunniilertunga	erneq-KKUT<flertal<Instrumentalis-IR-LIR<Participium<jeg
ernikoqaviffeqartuleqquiuk	erneq-KU-QAR-VIP+FIK-QAR+TUQ-LIR_nv-QQU<Interrogativ<DuHam
ernikusiunngitsulli	erneq-KU+SIUR-NNGIT<Participium<de+LI
ernilivimmanga	erneq-LIR_nv-VIP<Causativ<HanMig
ernermiulerereertussaniissavit	erneq+MIU-LIRI-RIIR+TUQ-SSAQ<flertal<Instrumentalis-IR-SSA<Interrogativ<du
ernermioqarnerlu	erneq+MIU-QAR+NIQ<ental<Absolut+LU
erninnguata	erneq-NNGUAQ<ental<hans<Relativ
erninnguujunnaarlutillu	erneq-NNGUAQ-U+GUNNAAR<Ledsagemåde<de_selv+LU
erninngooqaagut	erneq-NNGUAQ-U-QӘ<Indikativ<vi
erninngulaarpit	erneq-NNGUR-LAAR<Interrogativ<du
ernerpassuiuna	erneq+PASSUAQ<flertal<deres<Absolut+UNA
ernerujulinngiliuk	erneq-RUJUK-LIR_nv-NNGIT<Interrogativ<DuHam
ernerujussuata	erneq-RUJUK=SUAQ<ental<deres<Relativ
ernissami	erneq-SSAQ<ental<Lokalis
ernissaa	erneq-SSAQ<flertal<hans<Absolut
ernissaagaluatalu	erneq-SSAQ=U=GALUAQ<ental<deres<Relativ+LU
erniinnaq	erniinnaq<Partikel
erniinnarli	erniinnaq<Partikel+LI
erniinnarlu	erniinnaq<Partikel+LU
erniinnaruna	erniinnaq<Partikel+UNA
ersigaluartuinnanngoreerpungalu	ersi+GALUAR+TUQ-INNAQ-NNGUR-RIIR<Indikativ<jeg+LU
ersiunnaarlutik	ersi+GUNNAAR<Ledsagemåde<de_selv
erserusufferujussuanneeriarfilererusuppit	ersi+GUSUP+FIK-RUJUK=SUAQ<flertal<min<Lokalis+IP-RIAR+FIK-LIRI+GUSUP<Interrogativ<du
erserusufferujussuannili	ersi+GUSUP+FIK-RUJUK=SUAQ<flertal<min<Lokalis+LI
erserusufferujooqqaarama	ersi+GUSUP+FIK-RUJUK-U-QQAAR<Causativ<jeg
erserusuttormiooqqaarnerpaanngunngilasi	ersi+GUSUP+TUQ+MIU-U-QQAAR+NIRPAAQ-NNGUR-NNGIT<Interrogativ<I
ersilaarpugut	ersi-LAAR<Indikativ<vi
ersilaarnini	ersi-LAAR+NIQ<ental<sin<Absolut
ersillutik	ersi<Ledsagemåde<de_selv
ersiniarlutik	ersi+NIAR<Ledsagemåde<de_selv
ersinikuufferujunngussappullu	ersi+NIKUU+FIK-RUJUK-NNGUR-SSA<Indikativ<de+LU
ersineruffilerisimanerni	ersi+NIRU+FIK-LIRI+SIMA+NIQ<flertal<Lokalis
ersisulluunniit	ersi<Participium<de+LUUNNIIT
erseqqaartoorusukkama	ersi-QQAAR+TUQ-U+GUSUP<Causativ<jeg
erseqaarli	ersi-QӘ<Indikativ<han+LI
