akisussaassuseq	akisussaassuseq<ental<Absolut
meeqqerivissaagaluaq	meeqqerivik-SSAQ=U=GALUAQ<Absolut<ental
meeqqerivissaagaluata	meeqqerivik-SSAQ=U=GALUAQ<ental<deres<Relativ
meeqqerivissaagaluata	meeqqerivik-SSAQ=U=GALUAQ<ental<hans<Relativ
meeqqerivissaagaluanni	meeqqerivik-SSAQ=U=GALUAQ<ental<min<Lokalis
meeqqerivissaagalui	meeqqerivik-SSAQ=U=GALUAQ<flertal<deres<Absolut
meeqqerivissaagaluanni	meeqqerivik-SSAQ=U=GALUAQ<flertal<min<Lokalis
naleqartitaq	naleqartitaq<ental<Absolut
naleqartitaata	naleqartitaq<ental<deres<Relativ
naleqartitaata	naleqartitaq<ental<hans<Relativ
naleqartitanni	naleqartitaq<ental<min<Lokalis
naleqartitaat	naleqartitaq<flertal<deres<Absolut
naleqartitanni	naleqartitaq<flertal<min<Lokalis
naleqartitalerpaa	naleqartitaq-LIR_nv<Indikativ<HanHam
naleqartitalertippaa	naleqartitaq-LIR_nv+TIP<Indikativ<HanHam
naleqartitalertussaavaa	naleqartitaq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
naleqartitassaagaluaq	naleqartitaq-SSAQ=U=GALUAQ<Absolut<ental
naleqartitassaagaluata	naleqartitaq-SSAQ=U=GALUAQ<ental<deres<Relativ
naleqartitassaagaluata	naleqartitaq-SSAQ=U=GALUAQ<ental<hans<Relativ
naleqartitassaagaluanni	naleqartitaq-SSAQ=U=GALUAQ<ental<min<Lokalis
naleqartitassaagalui	naleqartitaq-SSAQ=U=GALUAQ<flertal<deres<Absolut
naleqartitassaagaluanni	naleqartitaq-SSAQ=U=GALUAQ<flertal<min<Lokalis
nassuiarpaa	nassuiar<Indikativ<HanHam
nassuiartippaa	nassuiar+TIP<Indikativ<HanHam
nassuiartussaavaa	nassuiar+TUQ=SSAQ=U<Indikativ<HanHam
nujaq	nujaq<ental<Absolut
nujaata	nujaq<ental<hans<Relativ
nujanni	nujaq<ental<min<Lokalis
nujanni	nujaq<flertal<min<Lokalis
nujalerpaa	nujaq-LIR_nv<Indikativ<HanHam
nujalertippaa	nujaq-LIR_nv+TIP<Indikativ<HanHam
nujalertussaavaa	nujaq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
nujassaagaluaq	nujaq-SSAQ=U=GALUAQ<Absolut<ental
nujassaagaluata	nujaq-SSAQ=U=GALUAQ<ental<deres<Relativ
nujassaagaluata	nujaq-SSAQ=U=GALUAQ<ental<hans<Relativ
nujassaagaluanni	nujaq-SSAQ=U=GALUAQ<ental<min<Lokalis
nujassaagalui	nujaq-SSAQ=U=GALUAQ<flertal<deres<Absolut
nujassaagaluanni	nujaq-SSAQ=U=GALUAQ<flertal<min<Lokalis
nutaaq	nutaaq<ental<Absolut
paarivaa	paarә<Indikativ<HanHam
paaritippaa	paarә+TIP<Indikativ<HanHam
paarisussaavaa	paarә+TUQ=SSAQ=U<Indikativ<HanHam
pilersaarut	pilersaarut<ental<Absolut
pilersaarutaata	pilersaarut<ental<deres<Relativ
pilersaarutaata	pilersaarut<ental<hans<Relativ
pilersaarutaat	pilersaarut<flertal<deres<Absolut
pilersaarutinni	pilersaarut<flertal<min<Lokalis
pilersaarutilerpaa	pilersaarut-LIR_nv<Indikativ<HanHam
pilersaarutilertippaa	pilersaarut-LIR_nv+TIP<Indikativ<HanHam
pilersaarutissaagaluaq	pilersaarut-SSAQ=U=GALUAQ<Absolut<ental
pilersaarutissaagaluata	pilersaarut-SSAQ=U=GALUAQ<ental<deres<Relativ
pilersaarutissaagaluata	pilersaarut-SSAQ=U=GALUAQ<ental<hans<Relativ
pilersaarutissaagaluanni	pilersaarut-SSAQ=U=GALUAQ<ental<min<Lokalis
pilersaarutissaagalui	pilersaarut-SSAQ=U=GALUAQ<flertal<deres<Absolut
pilersaarutissaagaluanni	pilersaarut-SSAQ=U=GALUAQ<flertal<min<Lokalis
pingaarfik	pingaar+FIK<ental<Absolut
pingaarfiata	pingaar+FIK<ental<deres<Relativ
pingaarfiata	pingaar+FIK<ental<hans<Relativ
pingaarfinni	pingaar+FIK<ental<min<Lokalis
pingaarfinni	pingaar+FIK<flertal<min<Lokalis
pingaarfilerpaa	pingaar+FIK-LIR_nv<Indikativ<HanHam
pingaarfilertippaa	pingaar+FIK-LIR_nv+TIP<Indikativ<HanHam
pingaarfissaagaluata	pingaar+FIK-SSAQ=U=GALUAQ<ental<deres<Relativ
pingaarfissaagaluata	pingaar+FIK-SSAQ=U=GALUAQ<ental<hans<Relativ
pingaarfissaagaluanni	pingaar+FIK-SSAQ=U=GALUAQ<ental<min<Lokalis
pingaarfissaagalui	pingaar+FIK-SSAQ=U=GALUAQ<flertal<deres<Absolut
pingaarpa	pingaar<Interrogativ<han
pingaarnerpaaq	pingaar+NIRPAAQ<ental<Absolut
pingaarnerpaata	pingaar+NIRPAAQ<ental<deres<Relativ
pingaarnerpaata	pingaar+NIRPAAQ<ental<hans<Relativ
pingaarnerpaat	pingaar+NIRPAAQ<flertal<deres<Absolut
pingaarnerpaanni	pingaar+NIRPAAQ<flertal<min<Lokalis
pingaarnerpaalerpaa	pingaar+NIRPAAQ-LIR_nv<Indikativ<HanHam
pingaarnerpaalertippaa	pingaar+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
pingaarnerpaalertussaavaa	pingaar+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
pingaarnerpaassaagaluata	pingaar+NIRPAAQ-SSAQ=U=GALUAQ<ental<deres<Relativ
pingaarnerpaassaagalui	pingaar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
pingaarnerpaassaagaluanni	pingaar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<min<Lokalis
pingaartippaa	pingaar+TIP<Indikativ<HanHam
pingaartussaaffik	pingaar+TUQ=SSAQ=U+FIK<ental<Absolut
pingaartussaaffiata	pingaar+TUQ=SSAQ=U+FIK<ental<hans<Relativ
pingaartussaaffissaagaluanni	pingaar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<flertal<min<Lokalis
pingaartussaava	pingaar+TUQ=SSAQ=U<Interrogativ<han
pingaartussaanerpaaq	pingaar+TUQ=SSAQ=U+NIRPAAQ<ental<Absolut
pingaartussaanerpaassaagaluata	pingaar+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<ental<deres<Relativ
pisimasoq	pisimasoq<ental<Absolut
pisimasuata	pisimasoq<ental<deres<Relativ
pisimasuata	pisimasoq<ental<hans<Relativ
pisimasunni	pisimasoq<ental<min<Lokalis
pisimasui	pisimasoq<flertal<deres<Absolut
pisimasunni	pisimasoq<flertal<min<Lokalis
pisimasulerpaa	pisimasoq-LIR_nv<Indikativ<HanHam
pisimasulertippaa	pisimasoq-LIR_nv+TIP<Indikativ<HanHam
pisimasulertussaavaa	pisimasoq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
pisimasussaagaluaq	pisimasoq-SSAQ=U=GALUAQ<Absolut<ental
pisimasussaagaluata	pisimasoq-SSAQ=U=GALUAQ<ental<hans<Relativ
pisimasussaagaluanni	pisimasoq-SSAQ=U=GALUAQ<ental<min<Lokalis
pisimasussaagalui	pisimasoq-SSAQ=U=GALUAQ<flertal<deres<Absolut
pisimasussaagaluanni	pisimasoq-SSAQ=U=GALUAQ<flertal<min<Lokalis
poortugaq	poortugaq<ental<Absolut
poortukkanni	poortugaq<ental<min<Lokalis
poortukkanni	poortugaq<flertal<min<Lokalis
poortugalerpaa	poortugaq-LIR_nv<Indikativ<HanHam
poortugalertippaa	poortugaq-LIR_nv+TIP<Indikativ<HanHam
poortugalertussaavaa	poortugaq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
poortugassaagaluaq	poortugaq-SSAQ=U=GALUAQ<Absolut<ental
poortugassaagaluata	poortugaq-SSAQ=U=GALUAQ<ental<deres<Relativ
poortugassaagaluata	poortugaq-SSAQ=U=GALUAQ<ental<hans<Relativ
poortugassaagaluanni	poortugaq-SSAQ=U=GALUAQ<ental<min<Lokalis
poortugassaagalui	poortugaq-SSAQ=U=GALUAQ<flertal<deres<Absolut
poortugassaagaluanni	poortugaq-SSAQ=U=GALUAQ<flertal<min<Lokalis
qulaa	qulә<Absolut<ental<hans
qulaata	qulә<ental<deres<Relativ
qulaata	qulә<ental<hans<Relativ
qulinni	qulә<ental<min<Lokalis
sakkutooqarfik	sakkutooqarfik<ental<Absolut
sakkutooqarfiata	sakkutooqarfik<ental<deres<Relativ
sakkutooqarfiata	sakkutooqarfik<ental<hans<Relativ
sakkutooqarfinni	sakkutooqarfik<ental<min<Lokalis
sakkutooqarfii	sakkutooqarfik<flertal<deres<Absolut
sakkutooqarfinni	sakkutooqarfik<flertal<min<Lokalis
