aappaatigut	aappaatigut<Partikel
nuannarisorujorujussuuatit	nuannarә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<DuDem
nuannarisorujorujussuuaa	nuannarә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<HanHam
nuannarisorujorujussuuarput	nuannarә+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<ViHam
nuannarisorujussuuatit	nuannarә+TUQ=RUJUK=SUAQ=U<Indikativ<DuDem
nuannarisorujussuuaa	nuannarә+TUQ=RUJUK=SUAQ=U<Indikativ<HanHam
nuannarisorujussuuarput	nuannarә+TUQ=RUJUK=SUAQ=U<Indikativ<ViHam
nukik	nukik<ental<Absolut
nukiattut	nukik<ental<deres<Aequalis
nukinga	nukik<ental<hans<Absolut
nukingani	nukik<ental<hans<Lokalis
nukingata	nukik<ental<hans<Relativ
nukimmik	nukik<ental<Instrumentalis
nukimmeerluinnarpoq	nukik<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
nukimmeertariaqarpoq	nukik<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukimminik	nukik<ental<sin<Instrumentalis
nukinnik	nukik<flertal<Instrumentalis
nukinneerpoq	nukik<flertal<Instrumentalis-IR<Indikativ<han
nukinneerluinnarpoq	nukik<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
nukinneertariaqarpoq	nukik<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukiminik	nukik<flertal<sin<Instrumentalis
nukiku	nukik-KU<ental<Absolut
nukikuattut	nukik-KU<ental<deres<Aequalis
nukikumik	nukik-KU<ental<Instrumentalis
nukikumeerpoq	nukik-KU<ental<Instrumentalis-IR<Indikativ<han
nukikumeerluinnarpoq	nukik-KU<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
nukikumeertariaqarpoq	nukik-KU<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukikuneertariaqarpoq	nukik-KU<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukikuminik	nukik-KU<flertal<sin<Instrumentalis
nukerujuk	nukik-RUJUK<ental<Absolut
nukerujuattut	nukik-RUJUK<ental<deres<Aequalis
nukerujummik	nukik-RUJUK<ental<Instrumentalis
nukerujummeerpoq	nukik-RUJUK<ental<Instrumentalis-IR<Indikativ<han
nukerujummeerluinnarpoq	nukik-RUJUK<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
nukerujummeertariaqarpoq	nukik-RUJUK<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukerujumminik	nukik-RUJUK<ental<sin<Instrumentalis
nukerujunnik	nukik-RUJUK<flertal<Instrumentalis
nukerujunneerpoq	nukik-RUJUK<flertal<Instrumentalis-IR<Indikativ<han
nukerujunneerluinnarpoq	nukik-RUJUK<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
nukerujunneertariaqarpoq	nukik-RUJUK<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukerujuminik	nukik-RUJUK<flertal<sin<Instrumentalis
nukerujussuaq	nukik-RUJUK=SUAQ<ental<Absolut
nukerujussuattut	nukik-RUJUK=SUAQ<ental<deres<Aequalis
nukerujussuarmeerpoq	nukik-RUJUK=SUAQ<ental<Instrumentalis-IR<Indikativ<han
nukerujussuarnik	nukik-RUJUK=SUAQ<flertal<Instrumentalis
nukerujussuarneertariaqarpoq	nukik-RUJUK=SUAQ<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
nukerujussuaminik	nukik-RUJUK=SUAQ<flertal<sin<Instrumentalis
oqaluttuaq	oqaluttuaq<ental<Absolut
oqaluttuaattut	oqaluttuaq<ental<deres<Aequalis
