aallartikkama	aallartip<Causativ<jeg
soqutigineruaanga	soqutigә+NIRU<Indikativ<HanMig
soqutigineruara	soqutigә+NIRU<Indikativ<JegHam
soqutigeqqaarmanga	soqutigә-QQAAR<Causativ<HanMig
soqutigeqqaarakku	soqutigә-QQAAR<Causativ<JegHam
soqutigeqqaarpaa	soqutigә-QQAAR<Indikativ<HanHam
soqutigeqqaarpaanga	soqutigә-QQAAR<Indikativ<HanMig
soqutigeqqaarpara	soqutigә-QQAAR<Indikativ<JegHam
soqutigeqqugakku	soqutigә-QQU<Causativ<JegHam
soqutigeqquaanga	soqutigә-QQU<Indikativ<HanMig
soqutigeqquara	soqutigә-QQU<Indikativ<JegHam
soqutigeriarmanga	soqutigә-RIAR<Causativ<HanMig
soqutigeriarakku	soqutigә-RIAR<Causativ<JegHam
soqutigereermanga	soqutigә-RIIR<Causativ<HanMig
soqutigereerakku	soqutigә-RIIR<Causativ<JegHam
soqutigereerpaanga	soqutigә-RIIR<Indikativ<HanMig
soqutigereerpara	soqutigә-RIIR<Indikativ<JegHam
soqutigivallaarmanga	soqutigә+VALLAAR<Causativ<HanMig
soqutigivallaarakku	soqutigә+VALLAAR<Causativ<JegHam
soqutigivallaarpaanga	soqutigә+VALLAAR<Indikativ<HanMig
soqutigivallaarpara	soqutigә+VALLAAR<Indikativ<JegHam
sugama	su<Causativ<jeg
suvoq	su<Indikativ<han
suinnarpoq	su-INNAR<Indikativ<han
suliffinni	suliffik<ental<sin<Absolut
suliffigiit	suliffik+GIIT<flertal<Absolut
suliffissama	suliffik-SSAQ<ental<min<Relativ
suliffissani	suliffik-SSAQ<ental<sin<Absolut
sunikuugama	su+NIKUU<Causativ<jeg
sunikuuvoq	su+NIKUU<Indikativ<han
sunerama	su+NIR<Causativ<jeg
sunerugama	su+NIRU<Causativ<jeg
suneruvoq	su+NIRU<Indikativ<han
soqqaarama	su-QQAAR<Causativ<jeg
soqqaarpoq	su-QQAAR<Indikativ<han
soqqummanga	su-QQU<Causativ<HanMig
soqqugakku	su-QQU<Causativ<JegHam
soqquaa	su-QQU<Indikativ<HanHam
soqquaanga	su-QQU<Indikativ<HanMig
soqquara	su-QQU<Indikativ<JegHam
soriarama	su-RIAR<Causativ<jeg
soreerama	su-RIIR<Causativ<jeg
soreerpoq	su-RIIR<Indikativ<han
suallaarama	su+VALLAAR<Causativ<jeg
suallaarpoq	su+VALLAAR<Indikativ<han
taamak	taamak<Partikel
tulluarama	tulluar<Causativ<jeg
tulluarpoq	tulluar<Indikativ<han
tulluaannarama	tulluar-INNAR<Causativ<jeg
tulluaannarpoq	tulluar-INNAR<Indikativ<han
tulluarnikuugama	tulluar+NIKUU<Causativ<jeg
tulluarnikuuvoq	tulluar+NIKUU<Indikativ<han
tulluarnerama	tulluar+NIR<Causativ<jeg
tulluarnerugama	tulluar+NIRU<Causativ<jeg
tulluarneruvoq	tulluar+NIRU<Indikativ<han
tulluaqqaarama	tulluar-QQAAR<Causativ<jeg
tulluaqqaarpoq	tulluar-QQAAR<Indikativ<han
tulluaqqummanga	tulluar-QQU<Causativ<HanMig
tulluaqqugakku	tulluar-QQU<Causativ<JegHam
tulluaqquaa	tulluar-QQU<Indikativ<HanHam
tulluaqquaanga	tulluar-QQU<Indikativ<HanMig
tulluaqquara	tulluar-QQU<Indikativ<JegHam
tulluariarama	tulluar-RIAR<Causativ<jeg
tulluareerama	tulluar-RIIR<Causativ<jeg
tulluareerpoq	tulluar-RIIR<Indikativ<han
tulluarpallaarama	tulluar+VALLAAR<Causativ<jeg
tulluarpallaarpoq	tulluar+VALLAAR<Indikativ<han
tusagassiortoq	tusagassiortoq<ental<Absolut
tusagassiortuma	tusagassiortoq<ental<min<Relativ
tusagassiortuni	tusagassiortoq<ental<sin<Absolut
tusagassiortoriit	tusagassiortoq+GIIT<flertal<Absolut
tusagassiortussaq	tusagassiortoq-SSAQ<ental<Absolut
tusagassiortussama	tusagassiortoq-SSAQ<ental<min<Relativ
tusagassiortussani	tusagassiortoq-SSAQ<ental<sin<Absolut
tusilarama	tusilar<Causativ<jeg
tusilarpoq	tusilar<Indikativ<han
tusilaannarama	tusilar-INNAR<Causativ<jeg
tusilaannarpoq	tusilar-INNAR<Indikativ<han
tusilarnikuugama	tusilar+NIKUU<Causativ<jeg
tusilarnikuuvoq	tusilar+NIKUU<Indikativ<han
tusilarnerama	tusilar+NIR<Causativ<jeg
tusilarnerugama	tusilar+NIRU<Causativ<jeg
tusilarneruvoq	tusilar+NIRU<Indikativ<han
tusilaqqaarama	tusilar-QQAAR<Causativ<jeg
tusilaqqaarpoq	tusilar-QQAAR<Indikativ<han
tusilaqqummanga	tusilar-QQU<Causativ<HanMig
tusilaqqugakku	tusilar-QQU<Causativ<JegHam
tusilaqquaa	tusilar-QQU<Indikativ<HanHam
tusilaqquaanga	tusilar-QQU<Indikativ<HanMig
tusilaqquara	tusilar-QQU<Indikativ<JegHam
tusilariarama	tusilar-RIAR<Causativ<jeg
tusilareerama	tusilar-RIIR<Causativ<jeg
tusilareerpoq	tusilar-RIIR<Indikativ<han
tusilarpallaarpoq	tusilar+VALLAAR<Indikativ<han
uannit	uanga<Pronomen<Ablativ<jeg
uanga	uanga<Pronomen<jeg
uannut	uanga<Pronomen<Terminalis<jeg
ukiigama	ukii<Causativ<jeg
ukiivoq	ukii<Indikativ<han
ukiiginnarama	ukii-INNAR<Causativ<jeg
ukiiginnarpoq	ukii-INNAR<Indikativ<han
ukiinikuugama	ukii+NIKUU<Causativ<jeg
ukiinikuuvoq	ukii+NIKUU<Indikativ<han
ukiinerama	ukii+NIR<Causativ<jeg
ukiinerugama	ukii+NIRU<Causativ<jeg
ukiineruvoq	ukii+NIRU<Indikativ<han
ukeeqqaarama	ukii-QQAAR<Causativ<jeg
ukeeqqaarpoq	ukii-QQAAR<Indikativ<han
ukeeqqummanga	ukii-QQU<Causativ<HanMig
ukeeqqugakku	ukii-QQU<Causativ<JegHam
ukeeqquaa	ukii-QQU<Indikativ<HanHam
ukeeqquaanga	ukii-QQU<Indikativ<HanMig
ukeeqquara	ukii-QQU<Indikativ<JegHam
ukeeriarama	ukii-RIAR<Causativ<jeg
ukeereerama	ukii-RIIR<Causativ<jeg
ukeereerpoq	ukii-RIIR<Indikativ<han
ukiivallaarama	ukii+VALLAAR<Causativ<jeg
ukiivallaarpoq	ukii+VALLAAR<Indikativ<han
unikkama	unip<Causativ<jeg
unippoq	unip<Indikativ<han
uniinnarama	unip-INNAR<Causativ<jeg
uniinnarpoq	unip-INNAR<Indikativ<han
uninnikuugama	unip+NIKUU<Causativ<jeg
uninnikuuvoq	unip+NIKUU<Indikativ<han
uninnerama	unip+NIR<Causativ<jeg
uninnerugama	unip+NIRU<Causativ<jeg
uninneruvoq	unip+NIRU<Indikativ<han
uneqqaarama	unip-QQAAR<Causativ<jeg
uneqqaarpoq	unip-QQAAR<Indikativ<han
uneqqummanga	unip-QQU<Causativ<HanMig
uneqqugakku	unip-QQU<Causativ<JegHam
uneqquaa	unip-QQU<Indikativ<HanHam
uneqquaanga	unip-QQU<Indikativ<HanMig
uneqquara	unip-QQU<Indikativ<JegHam
uneriarama	unip-RIAR<Causativ<jeg
unereerama	unip-RIIR<Causativ<jeg
unereerpoq	unip-RIIR<Indikativ<han
unippallaarama	unip+VALLAAR<Causativ<jeg
unippallaarpoq	unip+VALLAAR<Indikativ<han
