aappaagu	aappaagu<Partikel
ukiulerivoq	ukioq-LIRI<Indikativ<han
ukiulerivunga	ukioq-LIRI<Indikativ<jeg
ukiulerivugut	ukioq-LIRI<Indikativ<vi
ukiulerivit	ukioq-LIRI<Interrogativ<du
ukiulerisunga	ukioq-LIRI<Participium<jeg
ukiulerisaraluarpunga	ukioq-LIRI+TAR+GALUAR<Indikativ<jeg
ukiulerisaraluarpugut	ukioq-LIRI+TAR+GALUAR<Indikativ<vi
ukiulerisaraluarpit	ukioq-LIRI+TAR+GALUAR<Interrogativ<du
ukiulerisaraluartunga	ukioq-LIRI+TAR+GALUAR<Participium<jeg
ukiulerisarpoq	ukioq-LIRI+TAR<Indikativ<han
ukiulerisarpunga	ukioq-LIRI+TAR<Indikativ<jeg
ukiulerisarpugut	ukioq-LIRI+TAR<Indikativ<vi
ukiulerisarpit	ukioq-LIRI+TAR<Interrogativ<du
ukiulerisartunga	ukioq-LIRI+TAR<Participium<jeg
ukiunngoraluarpoq	ukioq-NNGUR+GALUAR<Indikativ<han
ukiunngorpoq	ukioq-NNGUR<Indikativ<han
ukiunngortaraluarpoq	ukioq-NNGUR+TAR+GALUAR<Indikativ<han
ukiunngortarpoq	ukioq-NNGUR+TAR<Indikativ<han
