aamma	aamma<Partikel
eqqumiitsuliortorpassuarnilu	eqqumiitsuliortoq+PASSUAQ<flertal<Lokalis+LU
eqqumiitsuliortoqalaarpit	eqqumiitsuliortoq-QAR-LAAR<Interrogativ<du
eqqumiitsuliortoqalaartunga	eqqumiitsuliortoq-QAR-LAAR<Participium<jeg
eqqumiitsuliortoqalaartartunga	eqqumiitsuliortoq-QAR-LAAR=TAR<Participium<jeg
eqqumiitsuliortoqalaartartungalu	eqqumiitsuliortoq-QAR-LAAR=TAR<Participium<jeg+LU
eqqumiitsuliortoqarnerit	eqqumiitsuliortoq-QAR+NIQ<flertal<Relativ
eqqumiitsuliortoqartunga	eqqumiitsuliortoq-QAR<Participium<jeg
eqqumiitsuliortoqassagaluarpit	eqqumiitsuliortoq-QAR-SSA=GALUAR<Interrogativ<du
eqqumiitsuliortoqassagaluarnerillu	eqqumiitsuliortoq-QAR-SSA=GALUAR+NIQ<flertal<Relativ+LU
eqqumiitsuliortoqassagaluartunga	eqqumiitsuliortoq-QAR-SSA=GALUAR<Participium<jeg
eqqumiitsuliortoqassagaluartungali	eqqumiitsuliortoq-QAR-SSA=GALUAR<Participium<jeg+LI
eqqumiitsuliortoqassavugulli	eqqumiitsuliortoq-QAR-SSA<Indikativ<vi+LI
eqqumiitsuliortoqassaneq	eqqumiitsuliortoq-QAR-SSA+NIQ<ental<Absolut
eqqumiitsuliortoqassanerat	eqqumiitsuliortoq-QAR-SSA+NIQ<ental<deres<Absolut
eqqumiitsuliortoqassasunga	eqqumiitsuliortoq-QAR-SSA<Participium<jeg
