aallariartorpoq	aallar+GIARTUR<Indikativ<han
oqaluttuarisaanermut	oqaluttuarisaaneq<ental<Terminalis
oqaluttuarisaanermukariartorpoq	oqaluttuarisaaneq<ental<Terminalis-KAR+GIARTUR<Indikativ<han
oqaluttuarisaanermukariartorpisi	oqaluttuarisaaneq<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
oqaluttuarisaanermukariartortoq	oqaluttuarisaaneq<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
oqaluttuarisaanermukarpoq	oqaluttuarisaaneq<ental<Terminalis-KAR<Indikativ<han
oqaluttuarisaanermukarpisi	oqaluttuarisaaneq<ental<Terminalis-KAR<Interrogativ<I
oqaluttuarisaanermukalerpoq	oqaluttuarisaaneq<ental<Terminalis-KAR-LIR<Indikativ<han
oqaluttuarisaanermukalerpisi	oqaluttuarisaaneq<ental<Terminalis-KAR-LIR<Interrogativ<I
oqaluttuarisaanermukalertoq	oqaluttuarisaaneq<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
oqaluttuarisaanermukartoq	oqaluttuarisaaneq<ental<Terminalis-KAR+TUQ<ental<Absolut
oqaluttuarisaanikka	oqaluttuarisaaneq<flertal<min<Absolut
oqaluttuarisaaninnguaq	oqaluttuarisaaneq-NNGUAQ<ental<Absolut
oqaluttuarisaaninnguamut	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis
oqaluttuarisaaninnguamukariartorpoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
oqaluttuarisaaninnguamukariartorpisi	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
oqaluttuarisaaninnguamukariartortoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
oqaluttuarisaaninnguamukarpoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
oqaluttuarisaaninnguamukarpisi	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
oqaluttuarisaaninnguamukalerpoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
oqaluttuarisaaninnguamukalerpisi	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
oqaluttuarisaaninnguamukalertoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
oqaluttuarisaaninnguamukartoq	oqaluttuarisaaneq-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
oqaluttuarisaaninnguakka	oqaluttuarisaaneq-NNGUAQ<flertal<min<Absolut
oqaluttuarisaanernut	oqaluttuarisaaneq<Terminalis<flertal
oqaluttuarisaanernukariartorpoq	oqaluttuarisaaneq<Terminalis<flertal-KAR+GIARTUR<Indikativ<han
oqaluttuarisaanernukariartorpisi	oqaluttuarisaaneq<Terminalis<flertal-KAR+GIARTUR<Interrogativ<I
oqaluttuarisaanernukariartortoq	oqaluttuarisaaneq<Terminalis<flertal-KAR+GIARTUR+TUQ<ental<Absolut
oqaluttuarisaanernukarpoq	oqaluttuarisaaneq<Terminalis<flertal-KAR<Indikativ<han
oqaluttuarisaanernukarpisi	oqaluttuarisaaneq<Terminalis<flertal-KAR<Interrogativ<I
oqaluttuarisaanernukalerpoq	oqaluttuarisaaneq<Terminalis<flertal-KAR-LIR<Indikativ<han
oqaluttuarisaanernukalerpisi	oqaluttuarisaaneq<Terminalis<flertal-KAR-LIR<Interrogativ<I
oqaluttuarisaanernukalertoq	oqaluttuarisaaneq<Terminalis<flertal-KAR-LIR+TUQ<ental<Absolut
oqaluttuarisaanernukartoq	oqaluttuarisaaneq<Terminalis<flertal-KAR+TUQ<ental<Absolut
Pituffik	Pituffik<Absolut
Pituffimmut	Pituffik<Terminalis
Pituffimmukariartorpoq	Pituffik<Terminalis-KAR+GIARTUR<Indikativ<han
Pituffimmukariartorpisi	Pituffik<Terminalis-KAR+GIARTUR<Interrogativ<I
Pituffimmukariartortoq	Pituffik<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
Pituffimmukarpoq	Pituffik<Terminalis-KAR<Indikativ<han
Pituffimmukarpisi	Pituffik<Terminalis-KAR<Interrogativ<I
Pituffimmukalerpoq	Pituffik<Terminalis-KAR-LIR<Indikativ<han
Pituffimmukalerpisi	Pituffik<Terminalis-KAR-LIR<Interrogativ<I
Pituffimmukalertoq	Pituffik<Terminalis-KAR-LIR+TUQ<ental<Absolut
Pituffimmukartoq	Pituffik<Terminalis-KAR+TUQ<ental<Absolut
qaammat	qaammat<ental<Absolut
qaammammut	qaammat<ental<Terminalis
qaammammukariartorpoq	qaammat<ental<Terminalis-KAR+GIARTUR<Indikativ<han
qaammammukariartortoq	qaammat<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
qaammammukarpoq	qaammat<ental<Terminalis-KAR<Indikativ<han
qaammammukarpisi	qaammat<ental<Terminalis-KAR<Interrogativ<I
qaammammukalerpoq	qaammat<ental<Terminalis-KAR-LIR<Indikativ<han
qaammammukalerpisi	qaammat<ental<Terminalis-KAR-LIR<Interrogativ<I
qaammammukalertoq	qaammat<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
qaammammukartoq	qaammat<ental<Terminalis-KAR+TUQ<ental<Absolut
qaammatikka	qaammat<flertal<min<Absolut
qaammatinnguaq	qaammat-NNGUAQ<ental<Absolut
qaammatinnguamut	qaammat-NNGUAQ<ental<Terminalis
qaammatinnguamukariartorpoq	qaammat-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
qaammatinnguamukariartorpisi	qaammat-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
qaammatinnguamukarpoq	qaammat-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
qaammatinnguamukarpisi	qaammat-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
qaammatinnguamukalerpoq	qaammat-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
qaammatinnguamukalerpisi	qaammat-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
