TA+una+Gram/Dem+Pron+Abs+Sg	taanna
utoqqatser+Sem/speak_emot+V+Ind+3Sg	utoqqatserpoq
utoqqatser+Sem/speak_emot+V+Ind+3Sg+LI	utoqqatserporli
utoqqatser+Sem/speak_emot+V+Ind+3Sg+LU	utoqqatserporlu
uanga+Gram/Pers+Pron+Abs+1Sg	uanga
uanga+Gram/Pers+Pron+Abs+1Sg+LI	uangali
uanga+Gram/Pers+Pron+Abs+1Sg+LU	uangalu
uanga+Gram/Pers+Pron+Abl+1Sg+LI	uannilli
uanga+Gram/Pers+Pron+Abl+1Sg+LU	uannillu
uanga+Gram/Pers+Pron+Abl+1Sg	uannit
uanga+Gram/Pers+Pron+Lok+1Sg	uanni
uanga+Gram/Pers+Pron+Lok+1Sg+LI	uannili
uanga+Gram/Pers+Pron+Lok+1Sg+LU	uannilu
uanga+Gram/Pers+Pron+Trm+1Sg+LI	uannulli
uanga+Gram/Pers+Pron+Trm+1Sg+LU	uannullu
uanga+Gram/Pers+Pron+Trm+1Sg	uannut
tii+Sem/drink+QAR+Sem/have+V+Int+2Sg+LI	teeqarpilli
tii+Sem/drink+QAR+Sem/have+V+Int+2Sg+LU	teeqarpillu
tii+Sem/drink+QAR+Sem/have+V+Int+2Sg	teeqarpit
tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg	teeqarpoq
tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg+LI	teeqarporli
tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg+LU	teeqarporlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	teeqarusussavilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	teeqarusussavillu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	teeqarusussavit
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	teeqarusussanngilaq
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	teeqarusussanngilarli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	teeqarusussanngilarlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	teeqarusussanngilanga
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	teeqarusussanngilangali
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	teeqarusussanngilangalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	teeqarusussanngilatilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	teeqarusussanngilatillu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	teeqarusussanngilatit
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	teeqarusussaaq
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	teeqarusussaarli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	teeqarusussaarlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	teeqarusussaanga
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	teeqarusussaangali
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	teeqarusussaangalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	teeqarusuppilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	teeqarusuppillu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	teeqarusuppit
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	teeqarusuppoq
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	teeqarusupporli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	teeqarusupporlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	teeqarusuppunga
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	teeqarusuppungali
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	teeqarusuppungalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	teeqarusunngilaq
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	teeqarusunngilarli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	teeqarusunngilarlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	teeqarusunngilanga
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	teeqarusunngilangali
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	teeqarusunngilangalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	teeqarusunngilatilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	teeqarusunngilatillu
