Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+V+Ind+1Pl	Aasiammiuusariaqarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+V+Ind+1Sg	Aasiammiuusariaqarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+V+Ind+3Sg	Aasiammiuusariaqarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+V+Int+2Sg	Aasiammiuusariaqarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+V+Ind+1Pl	Aasiammiuuvugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+V+Ind+1Sg	Aasiammiuuvunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+V+Ind+3Sg	Aasiammiuuvoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+V+Int+2Sg	Aasiammiuuit
Aasiaat+Sem/Geo+Prop+Trm+Pl	Aasiannut
Aasiaat+Sem/Geo+Prop+Trm+Pl+LI	Aasiannulli
Aasiaat+Sem/Geo+Prop+Trm+Pl+LU	Aasiannullu
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abl+Sg	Aputsiamit
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abl+Sg+LI	Aputsiamilli
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abl+Sg+LU	Aputsiamillu
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abs+Sg	Aputsiaq
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Aputsiamik
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Ins+Sg+LI	Aputsiamilli
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Ins+Sg+LU	Aputsiamillu
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Lok+Sg	Aputsiami
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Lok+Sg+LI	Aputsiamili
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Lok+Sg+LU	Aputsiamilu
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Trm+Sg	Aputsiamut
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Trm+Sg+LI	Aputsiamulli
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Trm+Sg+LU	Aputsiamullu
Aputsiaq+Sem/Mask+Sem/Hum+Prop+U+Sem/be_copula+GALUAR+V+Ind+1Sg	Aputsiaagaluarpunga
Aputsiaq+Sem/Mask+Sem/Hum+Prop+U+Sem/be_copula+GALUAR+V+Ind+3Sg	Aputsiaagaluarpoq
Aputsiaq+Sem/Mask+Sem/Hum+Prop+U+Sem/be_copula+GALUAR+V+Int+2Sg	Aputsiaagaluarpit
Aputsiaq+Sem/Mask+Sem/Hum+Prop+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Ind+1Sg	Aputsiaarusukkaluarpunga
Aputsiaq+Sem/Mask+Sem/Hum+Prop+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Ind+3Sg	Aputsiaarusukkaluarpoq
