taanna	TA+una+Gram/Dem+Pron+Abs+Sg
teeqassanngilarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
teeqassanngilarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
teeqassanngilanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg
teeqassanngilangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
teeqassanngilangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
teeqassanngilatilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
teeqassanngilatillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
teeqassanngilatit	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg
teeqassaaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg
teeqassaarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI
teeqassaarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU
teeqassaanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg
teeqassaangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LI
teeqassaangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LU
teeqanngilaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg
teeqanngilarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI
teeqanngilarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU
teeqanngilanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg
teeqanngilangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg+LI
teeqanngilangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg+LU
teeqanngilatilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg+LI
teeqanngilatillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg+LU
teeqanngilatit	tii+Sem/drink+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg
